time,Manual
2009-07-31 18:00:01,0#really not sure
2009-07-31 19:00:01,1#not sure either
2009-07-31 20:00:01,0
2009-07-31 21:00:01,0
2009-07-31 22:00:01,0#sleepy though
2009-07-31 23:00:01,0#same
2009-08-01 00:00:01,0
2009-08-01 01:00:01,1
2009-08-01 02:00:01,1
2009-08-01 03:00:01,1
2009-08-01 04:00:01,0#woken up for a minute here.
2009-08-01 05:00:01,1
2009-08-01 06:00:01,1
2009-08-01 07:00:01,0
2009-08-01 08:00:01,0
2009-08-01 09:00:01,0
2009-08-01 10:00:01,0
2009-08-01 11:00:01,0#trying to nap though
2009-08-01 12:00:01,0
2009-08-01 13:00:01,0
2009-08-01 14:00:01,0
2009-08-01 15:00:01,0
2009-08-01 16:00:01,0
2009-08-01 17:00:01,0
2009-08-01 18:00:01,0
2009-08-01 19:00:01,0
2009-08-01 20:00:01,0
2009-08-01 21:00:01,0
2009-08-01 22:00:01,0
2009-08-01 23:00:01,0
2009-08-02 00:00:01,0
2009-08-02 01:00:01,1
2009-08-02 02:00:01,1
2009-08-02 03:00:01,1
2009-08-02 04:00:01,0#woken up for a few
2009-08-02 05:00:01,1
2009-08-02 06:00:01,0# just woke up
2009-08-02 07:00:01,0
2009-08-02 08:00:01,0
2009-08-02 09:00:01,0
2009-08-02 10:00:01,0
2009-08-02 11:00:01,0
2009-08-02 12:00:01,0
2009-08-02 13:00:01,0
2009-08-02 14:00:01,0
2009-08-02 15:00:01,1
2009-08-02 16:00:01,0
2009-08-02 17:00:01,0
2009-08-02 18:00:01,0
2009-08-02 19:00:01,0
2009-08-02 20:00:01,0
2009-08-02 21:00:01,0
2009-08-02 22:00:01,0
2009-08-02 23:00:01,1
2009-08-03 00:00:01,1
2009-08-03 01:00:01,1
2009-08-03 02:00:01,0
2009-08-03 03:00:01,1
2009-08-03 04:00:01,1
2009-08-03 05:00:01,0#no video
