time,Manual
2009-10-10 17:00:03,0
2009-10-10 18:00:03,0
2009-10-10 19:00:03,0
2009-10-10 20:00:03,0
2009-10-10 21:00:03,0
2009-10-10 22:00:03,1
2009-10-10 23:00:03,0#Trying to  but looks like woke up recently
2009-10-11 00:00:03,0#Same
2009-10-11 01:00:03,1
2009-10-11 02:00:03,1
2009-10-11 03:00:03,1
2009-10-11 04:00:03,1
2009-10-11 05:00:03,1
2009-10-11 06:00:03,1
2009-10-11 07:00:03,1
2009-10-11 08:00:03,0#Just woke up...
2009-10-11 09:00:03,0#goes back to sleep soon after
2009-10-11 10:00:03,1
#Warning: no video before this cropped part!
