time,Manual
2009-11-23 10:00:04,0
2009-11-23 11:00:04,0
2009-11-23 12:00:04,0
2009-11-23 13:00:04,0
2009-11-23 14:00:04,0
2009-11-23 15:00:04,0
2009-11-23 16:00:04,0
2009-11-23 17:00:04,0
2009-11-23 18:00:04,0
2009-11-23 19:00:04,0
2009-11-23 20:00:04,0
2009-11-23 21:00:04,0
2009-11-23 22:00:04,0
2009-11-23 23:00:04,1
2009-11-24 00:00:04,1
2009-11-24 01:00:04,1
2009-11-24 02:00:04,1
2009-11-24 03:00:04,1
2009-11-24 04:00:04,1
2009-11-24 05:00:04,1
2009-11-24 06:00:04,1
2009-11-24 07:00:04,1
2009-11-24 08:00:04,1
2009-11-24 09:00:04,0
2009-11-24 10:00:04,0
2009-11-24 11:00:04,0
2009-11-24 12:00:04,0
2009-11-24 13:00:04,0
2009-11-24 14:00:04,0
2009-11-24 15:00:04,0
2009-11-24 16:00:04,0
2009-11-24 17:00:04,0
2009-11-24 18:00:04,0
2009-11-24 19:00:04,0
2009-11-24 20:00:04,0
2009-11-24 21:00:04,0
2009-11-24 22:00:04,0
2009-11-24 23:00:04,1
2009-11-25 00:00:04,1
2009-11-25 01:00:04,1
2009-11-25 02:00:04,0
2009-11-25 03:00:04,1
2009-11-25 04:00:04,1
2009-11-25 05:00:04,1
2009-11-25 06:00:04,1
2009-11-25 07:00:04,1
2009-11-25 08:00:04,0
