time,Manual
2010-04-11 09:00:02,0
2010-04-11 10:00:02,0
2010-04-11 11:00:02,0
2010-04-11 12:00:02,1
2010-04-11 13:00:02,1
2010-04-11 14:00:02,0
2010-04-11 15:00:02,0
2010-04-11 16:00:02,0
2010-04-11 17:00:02,1
2010-04-11 18:00:02,1
2010-04-11 19:00:02,1
2010-04-11 20:00:02,0
2010-04-11 21:00:02,1
2010-04-11 22:00:02,1
2010-04-11 23:00:02,1
2010-04-12 00:00:02,1
2010-04-12 01:00:02,1
2010-04-12 02:00:02,1
2010-04-12 03:00:02,1
2010-04-12 04:00:02,0
2010-04-12 05:00:02,1
2010-04-12 06:00:02,1
2010-04-12 07:00:02,0
2010-04-12 08:00:02,0
2010-04-12 09:00:02,1
2010-04-12 10:00:02,1
2010-04-12 11:00:02,1
2010-04-12 12:00:02,1
2010-04-12 13:00:02,0
2010-04-12 14:00:02,0
2010-04-12 15:00:02,0
2010-04-12 16:00:02,0
2010-04-12 17:00:02,0
2010-04-12 18:00:02,0
2010-04-12 19:00:02,0
2010-04-12 20:00:02,1
2010-04-12 21:00:02,1
2010-04-12 22:00:02,1
2010-04-12 23:00:02,1
2010-04-13 00:00:02,1
2010-04-13 01:00:02,1
2010-04-13 02:00:02,1
2010-04-13 03:00:02,1
2010-04-13 04:00:02,1
2010-04-13 05:00:02,1
2010-04-13 06:00:02,0
2010-04-13 07:00:02,0
2010-04-13 08:00:02,0
2010-04-13 09:00:02,0
2010-04-13 10:00:02,0
2010-04-13 11:00:02,1
2010-04-13 12:00:02,0
2010-04-13 13:00:02,0
2010-04-13 14:00:02,0
2010-04-13 15:00:02,0
2010-04-13 16:00:02,0
2010-04-13 17:00:02,0
2010-04-13 18:00:02,0
2010-04-13 19:00:02,0
2010-04-13 20:00:02,0
2010-04-13 21:00:02,0
2010-04-13 22:00:02,0
2010-04-13 23:00:02,1
2010-04-14 00:00:02,1
2010-04-14 01:00:02,1
2010-04-14 02:00:02,1
2010-04-14 03:00:02,1
2010-04-14 04:00:02,1
2010-04-14 05:00:02,1
2010-04-14 06:00:02,1
