time,Manual
2010-10-10 11:00:02,0
2010-10-10 12:00:02,1
2010-10-10 13:00:02,0
2010-10-10 14:00:02,0
2010-10-10 15:00:02,0
2010-10-10 16:00:02,0
2010-10-10 17:00:02,0
2010-10-10 18:00:02,0
2010-10-10 19:00:02,0
2010-10-10 20:00:02,0
2010-10-10 21:00:02,1
2010-10-10 22:00:02,1
2010-10-10 23:00:02,1
2010-10-11 00:00:02,1
2010-10-11 01:00:02,1
2010-10-11 02:00:02,1
2010-10-11 03:00:02,0
2010-10-11 04:00:02,1
2010-10-11 05:00:02,0
2010-10-11 06:00:02,0
2010-10-11 07:00:02,1
2010-10-11 08:00:02,0
2010-10-11 09:00:02,0
