time,Manual
2010-10-05 09:00:01,0
2010-10-05 10:00:01,0
2010-10-05 11:00:01,0
2010-10-05 12:00:01,1
2010-10-05 13:00:01,1
2010-10-05 14:00:01,0
2010-10-05 15:00:01,0
2010-10-05 16:00:01,0
2010-10-05 17:00:01,1
2010-10-05 18:00:01,0
2010-10-05 19:00:01,0
2010-10-05 20:00:01,1
2010-10-05 21:00:01,1
2010-10-05 22:00:01,1
2010-10-05 23:00:01,0
2010-10-06 00:00:01,1
2010-10-06 01:00:01,1
2010-10-06 02:00:01,1
2010-10-06 03:00:01,1
2010-10-06 04:00:01,0
2010-10-06 05:00:01,1
2010-10-06 06:00:01,1
2010-10-06 07:00:01,1
