time,Manual
2012-01-26 09:00:07,0
2012-01-26 10:00:07,0
2012-01-26 11:00:07,0# cannot tell...
2012-01-26 12:00:07,0#same but more convinced that napping
2012-01-26 13:00:07,0
2012-01-26 14:00:07,0
2012-01-26 15:00:07,0
2012-01-26 16:00:07,0#again, how tf should I know
2012-01-26 17:00:07,0
2012-01-26 18:00:07,0
2012-01-26 19:00:07,0
2012-01-26 20:00:07,0
2012-01-26 21:00:07,0
2012-01-26 22:00:07,0
2012-01-26 23:00:07,1
2012-01-27 00:00:07,1#woken up 2 before... 
2012-01-27 01:00:07,1
2012-01-27 02:00:07,1
2012-01-27 03:00:07,1
2012-01-27 04:00:07,1
2012-01-27 05:00:07,1
2012-01-27 06:00:07,1
# hard to annotate camera from behind...
