time,Manual
2012-01-25 15:00:00,1
2012-01-25 16:00:00,0#woken up 3 before.
2012-01-25 17:00:00,0
2012-01-25 18:00:00,0
2012-01-25 19:00:00,0
2012-01-25 20:00:00,0
2012-01-25 21:00:00,0
2012-01-25 22:00:00,0
2012-01-25 23:00:00,0#barely awake!
2012-01-26 00:00:00,1#probably but woken up to check... 
2012-01-26 01:00:00,1
2012-01-26 02:00:00,1
2012-01-26 03:00:00,1
2012-01-26 04:00:00,1
2012-01-26 05:00:00,1
2012-01-26 06:00:00,0#most likely
2012-01-26 07:00:00,1#probably ?? NOT?but can't tell
2012-01-26 08:00:00,1#no clue
