time,Manual
2022-09-22 01:00:03+00:00,1 #not sure, awake until 40ish for sure but lights off after.
2022-09-22 02:00:03+00:00,1
2022-09-22 03:00:03+00:00,1
2022-09-22 04:00:03+00:00,1
2022-09-22 05:00:03+00:00,1
2022-09-22 06:00:03+00:00,1
2022-09-22 07:00:03+00:00,1 # WOKEN UP AT 07:08:55, check!!
2022-09-22 08:00:03+00:00,0
2022-09-22 09:00:03+00:00,0
2022-09-22 10:00:03+00:00,0
2022-09-22 11:00:03+00:00,0
2022-09-22 12:00:03+00:00,0
2022-09-22 13:00:03+00:00,0
2022-09-22 14:00:03+00:00,0
2022-09-22 15:00:03+00:00,0
2022-09-22 16:00:03+00:00,0
2022-09-22 17:00:03+00:00,0
2022-09-22 18:00:03+00:00,0
2022-09-22 19:00:03+00:00,0
2022-09-22 20:00:03+00:00,0
2022-09-22 21:00:03+00:00,0
2022-09-22 22:00:03+00:00,0
2022-09-22 23:00:03+00:00,0
2022-09-23 00:00:03+00:00,1 # Not sure but lights off for a bit
2022-09-23 01:00:03+00:00,1
2022-09-23 02:00:03+00:00,1
2022-09-23 03:00:03+00:00,1
2022-09-23 04:00:03+00:00,1 #woken up at 4:04:30ish though
2022-09-23 05:00:03+00:00,0 #wakes up at 4:55
2022-09-23 06:00:03+00:00,1
2022-09-23 07:00:03+00:00,0 #woken up at 6:55
2022-09-23 08:00:03+00:00,0
2022-09-23 09:00:03+00:00,0
2022-09-23 10:00:03+00:00,0
2022-09-23 11:00:03+00:00,0
2022-09-23 12:00:03+00:00,0
2022-09-23 13:00:03+00:00,0
2022-09-23 14:00:03+00:00,0
2022-09-23 15:00:03+00:00,0
2022-09-23 16:00:03+00:00,0
2022-09-23 17:00:03+00:00,0
2022-09-23 18:00:03+00:00,0
2022-09-23 19:00:03+00:00,0
2022-09-23 20:00:03+00:00,0
2022-09-23 21:00:03+00:00,0
2022-09-23 22:00:03+00:00,0
2022-09-23 23:00:03+00:00,1
2022-09-24 00:00:03+00:00,1
2022-09-24 01:00:03+00:00,1
2022-09-24 02:00:03+00:00,1
2022-09-24 03:00:03+00:00,1
2022-09-24 04:00:03+00:00,1
2022-09-24 05:00:03+00:00,1
