time,Manual
2022-09-24 06:00:01+00:00,1
2022-09-24 07:00:01+00:00,1
2022-09-24 08:00:01+00:00,1
2022-09-24 09:00:01+00:00,1
2022-09-24 10:00:01+00:00,0
2022-09-24 11:00:01+00:00,0
2022-09-24 12:00:01+00:00,0
2022-09-24 13:00:01+00:00,0
2022-09-24 14:00:01+00:00,0
2022-09-24 15:00:01+00:00,1
2022-09-24 16:00:01+00:00,1
2022-09-24 17:00:01+00:00,1
2022-09-24 18:00:01+00:00,0
2022-09-24 19:00:01+00:00,0
2022-09-24 20:00:01+00:00,0
2022-09-24 21:00:01+00:00,0
2022-09-24 22:00:01+00:00,0
2022-09-24 23:00:01+00:00,1
2022-09-25 00:00:01+00:00,1
2022-09-25 01:00:01+00:00,1
2022-09-25 02:00:01+00:00,1
2022-09-25 03:00:01+00:00,1
2022-09-25 04:00:01+00:00,1
2022-09-25 05:00:01+00:00,1
2022-09-25 06:00:01+00:00,1
2022-09-25 07:00:01+00:00,1
2022-09-25 08:00:01+00:00,0
2022-09-25 09:00:01+00:00,0
2022-09-25 10:00:01+00:00,0
2022-09-25 11:00:01+00:00,0
2022-09-25 12:00:01+00:00,0
2022-09-25 13:00:01+00:00,0
2022-09-25 14:00:01+00:00,0
2022-09-25 15:00:01+00:00,0
2022-09-25 16:00:01+00:00,0
2022-09-25 17:00:01+00:00,0
2022-09-25 18:00:01+00:00,0
2022-09-25 19:00:01+00:00,0
2022-09-25 20:00:01+00:00,0
2022-09-25 21:00:01+00:00,0#Not sure, lights turned off only at 20:58... Guessing trying to sleep but not asleep yet.
2022-09-25 22:00:01+00:00,1
2022-09-25 23:00:01+00:00,1
2022-09-26 00:00:01+00:00,1
2022-09-26 01:00:01+00:00,1
2022-09-26 02:00:01+00:00,1
2022-09-26 03:00:01+00:00,1
2022-09-26 04:00:01+00:00,1
2022-09-26 05:00:01+00:00,1
2022-09-26 06:00:01+00:00,1
2022-09-26 07:00:01+00:00,1#not sure, tossing and turning and light is on, still trying to sleep
2022-09-26 08:00:01+00:00,0
2022-09-26 09:00:01+00:00,0
