time,Manual
2022-12-19 11:00:03+00:00,0
2022-12-19 12:00:03+00:00,0
2022-12-19 13:00:03+00:00,0
2022-12-19 14:00:03+00:00,0
2022-12-19 15:00:03+00:00,1#Napping
2022-12-19 16:00:03+00:00,0
2022-12-19 17:00:03+00:00,0
2022-12-19 18:00:03+00:00,0
2022-12-19 19:00:03+00:00,0
2022-12-19 20:00:03+00:00,0
2022-12-19 21:00:03+00:00,0
2022-12-19 22:00:03+00:00,1
2022-12-19 23:00:03+00:00,1
2022-12-20 00:00:03+00:00,1#Not obvious, woken up a min before...
2022-12-20 01:00:03+00:00,1
2022-12-20 02:00:03+00:00,1
2022-12-20 03:00:03+00:00,1
2022-12-20 04:00:03+00:00,1
2022-12-20 05:00:03+00:00,1
2022-12-20 06:00:03+00:00,1
